steps_back,steps_forward,steps_back_spacing,steps_forward_spacing,add_downstream_data,add_upstream_data,max_depth,num_leaves,min_child_samples,n_estimators,learning_rate,reg_alpha,reg_lambda,colsample_bytree,train_time [s],prediction_time [s],MAPE,MAE,MSE
5,15,3,15,True,True,8,1340,150,500,0.01,50,40,1.0,2.882451699988451,0.13928630002192222,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1420,150,500,0.01,50,40,1.0,3.1544940000167117,0.18495909999182913,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1420,100,600,0.01,50,45,1.0,4.455317899992224,0.19085460000496823,0.05967248909170161,5.954931354382066,98.55572125941916
5,15,3,15,True,True,8,1460,150,500,0.01,50,40,1.0,3.724562999996124,0.16145220000180416,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1460,150,500,0.01,50,40,1.0,3.703085600005579,0.23095230000035372,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1460,150,500,0.01,50,40,1.0,2.989725300009013,0.16159230000630487,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1500,100,500,0.01,50,40,1.0,3.0445067000109702,0.1379672000039136,0.05960575886208959,5.944163279933898,98.51302716507496
5,15,3,15,True,True,9,1460,150,600,0.01,50,45,1.0,3.6038420000259066,0.15199379998375662,0.05948837960334872,5.9374611986515635,98.13405963286523
5,15,3,15,True,True,8,1540,150,500,0.01,50,40,1.0,2.97285560000455,0.14917889999924228,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,7,1560,150,500,0.01,50,40,1.0,3.452264799969271,0.17951740002899896,0.05942216285324893,5.9269197770656135,97.89719163837181
5,15,3,15,True,True,8,1520,150,500,0.01,50,40,1.0,3.904020899994066,0.17651400000613648,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,8,1420,150,500,0.01,50,40,1.0,3.0338825000071665,0.13744099998439196,0.05937132090986802,5.919144142472651,97.89093177658523
5,15,3,15,True,True,9,1600,100,600,0.01,50,35,1.0,4.83785200001148,0.18087019998347387,0.05962714788386928,5.949978159376033,98.64200258870103
5,15,3,15,True,True,8,1420,100,500,0.01,50,45,1.0,3.1912011000094935,0.14748110000800807,0.05965699787685034,5.94709126736654,98.36952697722072
5,15,3,15,True,True,7,1460,150,500,0.01,50,40,1.0,2.3070010999945225,0.12219179999374319,0.05942216285324893,5.9269197770656135,97.89719163837181
5,15,3,15,True,True,9,1520,150,400,0.01,50,35,1.0,3.171178400007193,0.13867910001135897,0.059394177671083535,5.914495482335331,97.66711728965856
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.132185800001025,0.12924320000456646,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,3.036611699993955,0.12453950001508929,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1320,100,400,0.01,45,35,1.0,3.001938000015798,0.12401769998541567,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,3.0381836000160547,0.12478910000936594,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,2.9748208000091836,0.12398460000986233,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.0261271000199486,0.12572060000093188,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,3.0527488000079757,0.12263070001790766,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,2.9853014000109397,0.12423509999644011,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.003298600000562,0.12500050000380725,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,2.9963916999986395,0.12724460000754334,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.00992739998037,0.12522340001305565,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,3.0091531999933068,0.12416520000260789,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.014426599998842,0.12391860000207089,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,2.958647000021301,0.12371150002581999,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.00590230000671,0.12169249998987652,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,3.0431839000229957,0.1292162999889115,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1140,100,400,0.01,45,35,1.0,3.0075383000075817,0.13053819998458494,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,3.0029805000085616,0.1214925999956904,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,2.981796000021859,0.12268860000767745,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,3.001155400008429,0.129160900003626,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1220,100,400,0.01,45,35,1.0,2.9891633999941405,0.1370565999968676,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1220,100,400,0.01,45,35,1.0,2.9915289000055054,0.13390099999378435,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,2.975033099981374,0.13284150000254158,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1180,100,400,0.01,45,35,1.0,3.0052960999892093,0.12453950000053737,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1320,100,400,0.01,45,35,1.0,2.9870262000040384,0.1282101000106195,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1220,100,400,0.01,45,35,1.0,3.0058344000281068,0.12444679999316577,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1140,100,400,0.01,45,35,1.0,3.0091290999989724,0.12575459998333827,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,3.029573199994047,0.1261159999849042,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.1607611999934306,0.1254783000185853,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1300,100,400,0.01,45,35,1.0,3.034241099987412,0.1290792999934638,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,100,400,0.01,45,35,1.0,3.0854839000094216,0.12432599997555371,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1380,100,400,0.01,45,35,1.0,2.9969673000014154,0.12454170001728926,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1360,100,400,0.01,45,35,1.0,2.976738600002136,0.12816160000511445,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,9,1280,600,400,0.01,45,35,1.0,1.3673096999991685,0.09309600001142826,0.06158925191982639,6.202657686901501,101.3751604170744
5,15,3,15,True,True,9,1240,100,400,0.01,45,35,1.0,2.9664059999922756,0.13073630000872072,0.05937532873975386,5.903106563772193,97.5464742901812
5,15,3,15,True,True,10,1120,100,400,0.01,45,35,1.0,3.468690299996524,0.12592299999960233,0.0593460123269812,5.9002812561535425,97.42707502335035
